id;title;product_url;gender;price_retail;sub_categorie;categorie;age;shape;color;occasion;season
50036;Jumper for girls with printed print;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-nabivnym-printom-bezhevyj-20210100202;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;orange;casual;autumn
50037;Jumper for girls with printed print;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-nabivnym-printom-sinij-20210100202;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50038;Jumper for girls with decorative lacing;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-dekorativnoj-shnurovkoj-sinij-20210100201;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50039;Jumper for girls with decorative lacing;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-dekorativnoj-shnurovkoj-terrakot-20210100201;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;orange;casual;autumn
50040;Boys' Jumper with T-Shirt Imitation;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-imitaciej-futbolki-belyj-20150100015;male;0;t_shirt;tops;14_24;column;green;casual;autumn
50041;Jumper for girls with embroidery;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-vyshivkoj-temno-goluboj-20210100196;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50042;Jumper for boys with a bright print;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-yarkim-printom-bezhevyj-20150100014;male;0;t_shirt;tops;14_24;column;blue;casual;autumn
50043;Jumper for boys with a bright print;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-yarkim-printom-belyj-20150100013;male;0;t_shirt;tops;14_24;column;grey;casual;autumn
50044;Boys' boots with contrast lettering;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-s-kontrastnoj-nadpisyu-chernyj-20148210016;male;0;boots;shoes;14_24;column;grey;casual;autumn
50045;Boys' boots with contrast lettering;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-s-kontrastnoj-nadpisyu-chernyj-20148210015;male;0;boots;shoes;14_24;column;grey;casual;autumn
50046;Boots for boys for outdoor activities;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-dlya-aktivnogo-otdyha-chernyj-20148210010;male;0;boots;shoes;14_24;column;grey;casual;autumn
50047;Boots for boys for outdoor activities;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-dlya-aktivnogo-otdyha-chernyj-20148210009;male;0;boots;shoes;14_24;column;grey;casual;autumn
50048;Boots for boys for outdoor activities;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-dlya-aktivnogo-otdyha-bezhevyj-haki-20148210008;male;0;boots;shoes;14_24;column;brown;casual;autumn
50049;Boots for boys for outdoor activities;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-dlya-aktivnogo-otdyha-bezhevyj-haki-20148210007;male;0;boots;shoes;14_24;column;brown;casual;autumn
50050;Boots for boys in sporty style;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-v-sportivnom-stile-temno-goluboj-20148210006;male;0;boots;shoes;14_24;column;grey;casual;autumn
